,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
322,199,Adolf Friedrich Johann,Butenandt,24.03.03,1/18/1995,Germany,DE,Bremerhaven-Lehe,Germany,DE,Munich,male,1939,chemistry,,2,"""for his work on sex hormones""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Biochemie,Berlin-Dahlem,Germany,1903
323,305,Allvar,Gullstrand,1862-06-05,7/28/1930,Sweden,SE,Landskrona,Sweden,SE,Stockholm,male,1911,medicine,,1,"""for his work on the dioptrics of the eye""",Uppsala University,Uppsala,Sweden,1862
324,32,Jean Baptiste,Perrin,1870-09-30,4/17/1942,France,FR,Lille,USA,US,"New York, NY",male,1926,physics,,1,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",Sorbonne University,Paris,France,1870
325,28,Robert Andrews,Millikan,1868-03-22,12/19/1953,USA,US,"Morrison, IL",USA,US,"San Marino, CA",male,1923,physics,,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1868
326,15,Johannes Diderik,van der Waals,1837-11-23,03.08.23,the Netherlands,NL,Leiden,the Netherlands,NL,Amsterdam,male,1910,physics,,1,"""for his work on the equation of state for gases and liquids""",Amsterdam University,Amsterdam,the Netherlands,1837
327,260,Henry,Taube,30.11.15,11/16/2005,Canada,CA,Neudorf,USA,US,"Stanford, CA",male,1983,chemistry,,1,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",Stanford University,"Stanford, CA",USA,1915
328,308,Robert,Brny,1876-04-22,04.08.36,Austria,AT,Vienna,Sweden,SE,Uppsala,male,1914,medicine,,1,"""for his work on the physiology and pathology of the vestibular apparatus""",Vienna University,Vienna,Austria,1876
329,303,Emil Theodor,Kocher,1841-08-25,7/27/2017,Switzerland,CH,Berne,Switzerland,,Berne,male,1909,medicine,,1,"""for his work on the physiology, pathology and surgery of the thyroid gland""",Berne University,Berne,Switzerland,1841
330,37,Sir Chandrasekhara Venkata,Raman,1888-11-07,11/21/1970,India,IN,Tiruchirappalli,India,IN,Bangalore,male,1930,physics,,1,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,India,1888
331,247,John Warcup,Cornforth,07.09.17,12.08.13,Australia,AU,Sydney,,,,male,1975,chemistry,,2,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",University of Sussex,Brighton,United Kingdom,1917
332,222,Frederick,Sanger,13.08.18,11/19/2013,United Kingdom,GB,Rendcombe,United Kingdom,GB,Cambridge,male,1958,chemistry,,1,"""for his work on the structure of proteins, especially that of insulin""",University of Cambridge,Cambridge,United Kingdom,1918
333,35,Owen Willans,Richardson,1879-04-26,2/15/1959,United Kingdom,GB,Dewsbury,United Kingdom,GB,Alton,male,1928,physics,,1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",London University,London,United Kingdom,1879
334,201,George,de Hevesy,1885-08-01,07.05.66,Austria-Hungary (now Hungary),HU,Budapest,West Germany (now Germany),DE,Freiburg im Breisgau,male,1943,chemistry,,1,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,Sweden,1885
335,318,Charles Jules Henri,Nicolle,1866-09-21,2/28/1936,France,FR,Rouen,Tunisia,TN,Tunis,male,1928,medicine,,1,"""for his work on typhus""",Institut Pasteur,Tunis,,1866
336,596,George Bernard,Shaw,1856-07-26,11.02.50,Ireland,IE,Dublin,United Kingdom,GB,Ayot St. Lawrence,male,1925,literature,,1,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",,,,1856
337,637,Jean-Paul,Sartre,21.06.05,4/15/1980,France,FR,Paris,France,FR,Paris,male,1964,literature,,1,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",,,,1905
338,647,Heinrich,B_ll,21.12.17,7/16/1985,Germany,DE,Cologne,West Germany (now Germany),DE,Bornheim-Merten,male,1972,literature,,1,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",,,,1917
339,643,Samuel,Beckett,13.04.06,12/22/1989,Ireland,IE,Dublin,France,FR,Paris,male,1969,literature,,1,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",,,,1906
340,667,Octavio,Paz,31.03.14,4/19/1998,Mexico,MX,Mexico City,Mexico,MX,Mexico City,male,1990,literature,,1,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",,,,1914
341,923,Aziz,Sancar,08.09.46,,Turkey,TR,Savur,,,,male,2015,chemistry,,3,"""for mechanistic studies of DNA repair""",University of North Carolina,"Chapel Hill, NC",USA,1946
342,922,Paul,Modrich,13.06.46,,USA,US,"Raton, NM",,,,male,2015,chemistry,,3,"""for mechanistic studies of DNA repair""",Howard Hughes Medical Institute,"Durham, NC",USA,1946
343,922,Paul,Modrich,13.06.46,,USA,US,"Raton, NM",,,,male,2015,chemistry,,3,"""for mechanistic studies of DNA repair""",Duke University School of Medicine,"Durham, NC",USA,1946
344,921,Tomas,Lindahl,28.01.38,,Sweden,SE,Stockholm,,,,male,2015,chemistry,,3,"""for mechanistic studies of DNA repair""",Francis Crick Institute,Hertfordshire,United Kingdom,1938
345,921,Tomas,Lindahl,28.01.38,,Sweden,SE,Stockholm,,,,male,2015,chemistry,,3,"""for mechanistic studies of DNA repair""",Clare Hall Laboratory,Hertfordshire,United Kingdom,1938
346,772,Clive W.J.,Granger,04.09.34,5/27/2009,United Kingdom,GB,Swansea,USA,US,"San Diego, CA",male,2003,economics,,2,"""for methods of analyzing economic time series with common trends (cointegration)""",University of California,"San Diego, CA",USA,1934
347,771,Robert F.,Engle III,10.11.42,,USA,US,"Syracuse, NY",,,,male,2003,economics,,2,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",New York University,"New York, NY",USA,1942
348,853,Akira,Suzuki,12.09.30,,Japan,JP,Mukawa,,,,male,2010,chemistry,,3,"""for palladium-catalyzed cross couplings in organic synthesis""",Hokkaido University,Sapporo,Japan,1930
349,852,Ei-ichi,Negishi,14.07.35,,China,CN,Changchun,,,,male,2010,chemistry,,3,"""for palladium-catalyzed cross couplings in organic synthesis""",Purdue University,"West Lafayette, IN",USA,1935
350,851,Richard F.,Heck,15.08.31,10.09.15,USA,US,"Springfield, MA",Philippines,,Manila,male,2010,chemistry,,3,"""for palladium-catalyzed cross couplings in organic synthesis""",University of Delaware,,USA,1931
351,753,Raymond,Davis Jr.,14.10.14,5/31/2006,USA,US,"Washington, DC",USA,US,"Blue Point, NY",male,2002,physics,,4,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",University of Pennsylvania,"Philadelphia, PA",USA,1914
352,754,Masatoshi,Koshiba,19.09.26,,Japan,JP,Toyohashi,,,,male,2002,physics,,4,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",University of Tokyo,Tokyo,Japan,1926
353,755,Riccardo,Giacconi,06.10.31,,Italy,IT,Genoa,,,,male,2002,physics,,2,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",Associated Universities Inc.,"Washington, DC",USA,1931
354,766,Alexei A.,Abrikosov,25.06.28,,USSR (now Russia),RU,Moscow,,,,male,2003,physics,,3,"""for pioneering contributions to the theory of superconductors and superfluids""",Argonne National Laboratory,"Argonne, IL",USA,1928
355,767,Vitaly L.,Ginzburg,04.10.16,11.08.09,Russia,RU,Moscow,,,,male,2003,physics,,3,"""for pioneering contributions to the theory of superconductors and superfluids""",P.N. Lebedev Physical Institute,Moscow,Russia,1916
356,768,Anthony J.,Leggett,26.03.38,,United Kingdom,GB,London,,,,male,2003,physics,,3,"""for pioneering contributions to the theory of superconductors and superfluids""",University of Illinois,"Urbana, IL",USA,1938
357,770,Roderick,MacKinnon,19.02.56,,USA,US,"Burlington, MA",,,,male,2003,chemistry,"""for discoveries concerning channels in cell membranes""",2,"""for structural and mechanistic studies of ion channels""",Rockefeller University,"New York, NY",USA,1956
358,770,Roderick,MacKinnon,19.02.56,,USA,US,"Burlington, MA",,,,male,2003,chemistry,"""for discoveries concerning channels in cell membranes""",2,"""for structural and mechanistic studies of ion channels""",Howard Hughes Medical Institute,,,1956
359,878,Robert J.,Lefkowitz,15.04.43,,USA,US,"New York, NY",,,,male,2012,chemistry,,2,"""for studies of G-protein-coupled receptors""",Duke University Medical Center,"Durham, NC",USA,1943
360,879,Brian K.,Kobilka,30.05.55,,USA,US,"Little Falls, MN",,,,male,2012,chemistry,,2,"""for studies of G-protein-coupled receptors""",Stanford University School of Medicine,"Stanford, CA",USA,1955
361,878,Robert J.,Lefkowitz,15.04.43,,USA,US,"New York, NY",,,,male,2012,chemistry,,2,"""for studies of G-protein-coupled receptors""",Howard Hughes Medical Institute,,,1943
362,841,Venkatraman,Ramakrishnan,,,India,IN,"Chidambaram, Tamil Nadu",,,,male,2009,chemistry,,3,"""for studies of the structure and function of the ribosome""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,
363,842,Thomas A.,Steitz,23.08.40,,USA,US,"Milwaukee, WI",,,,male,2009,chemistry,,3,"""for studies of the structure and function of the ribosome""",Yale University,"New Haven, CT",USA,1940
364,842,Thomas A.,Steitz,23.08.40,,USA,US,"Milwaukee, WI",,,,male,2009,chemistry,,3,"""for studies of the structure and function of the ribosome""",Howard Hughes Medical Institute,,,1940
365,740,Carl E.,Wieman,26.03.51,,USA,US,"Corvallis, OR",,,,male,2001,physics,,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""","University of Colorado, JILA","Boulder, CO",USA,1951
366,738,Eric A.,Cornell,19.12.61,,USA,US,"Palo Alto, CA",,,,male,2001,physics,,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""","University of Colorado, JILA","Boulder, CO",USA,1961
367,739,Wolfgang,Ketterle,21.10.57,,West Germany (now Germany),DE,Heidelberg,,,,male,2001,physics,,3,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1957
368,912,Patrick,Modiano,30.07.45,,France,FR,Paris,,,,male,2014,literature,,1,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""""""",,,,1945
369,638,Mikhail Aleksandrovich,Sholokhov,24.05.05,2/21/1984,Russia,RU,Veshenskaya,USSR,RU,Veshenskaya,male,1965,literature,,1,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",,,,1905
370,609,Roger,Martin du Gard,1881-03-23,8/22/1958,France,FR,Neuilly-sur-Seine,France,FR,Bellme,male,1937,literature,,1,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",,,,1881
371,622,P_r Fabian,Lagerkvist,1891-05-23,07.11.74,Sweden,SE,V_xj_,Sweden,SE,Stockholm,male,1951,literature,,1,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",,,,1891
372,62,Walther,Bothe,1891-01-08,02.08.57,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,male,1954,physics,,2,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,Heidelberg,Federal Republic of Germany,1891
373,62,Walther,Bothe,1891-01-08,02.08.57,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,male,1954,physics,,2,"""for the coincidence method and his discoveries made therewith""",Max-Planck-Institut fôr medizinische Forschung,Heidelberg,Federal Republic of Germany,1891
374,694,Lawrence R.,Klein,14.09.20,10/20/2013,USA,US,"Omaha, NE",USA,US,"Gladwyne, PA",male,1980,economics,,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",University of Pennsylvania,"Philadelphia, PA",USA,1920
375,38,Werner Karl,Heisenberg,05.12.01,02.01.76,Germany,DE,Wôrzburg,West Germany (now Germany),DE,Munich,male,1932,physics,,1,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",Leipzig University,Leipzig,Germany,1901
376,623,Franois,Mauriac,1885-10-11,09.01.70,France,FR,Bordeaux,France,FR,Paris,male,1952,literature,,1,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",,,,1885
377,932,Sir J. Fraser,Stoddart,,,United Kingdom,GB,Edinburgh,,,,male,2016,chemistry,,3,"""for the design and synthesis of molecular machines""",Northwestern University,"Evanston, IL",USA,
378,933,Bernard L.,Feringa,,,the Netherlands,NL,Barger-Compascuum,,,,male,2016,chemistry,,3,"""for the design and synthesis of molecular machines""",University of Groningen,Groningen,the Netherlands,
379,931,Jean-Pierre,Sauvage,,,France,FR,Paris,,,,male,2016,chemistry,,3,"""for the design and synthesis of molecular machines""",University of Strasbourg,Strasbourg,France,
380,148,Frederick,Reines,16.03.18,8/26/1998,USA,US,"Paterson, NJ",USA,US,"Orange, CA",male,1995,physics,"""for pioneering experimental contributions to lepton physics""",2,"""for the detection of the neutrino""",University of California,"Irvine, CA",USA,1918
381,270,Johann,Deisenhofer,30.09.43,,Germany,DE,Zusamaltheim,,,,male,1988,chemistry,,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,1943
382,272,Hartmut,Michel,18.07.48,,West Germany (now Germany),DE,Ludwigsburg,,,,male,1988,chemistry,,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Max-Planck-Institut fôr Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,1948
383,271,Robert,Huber,20.02.37,,Germany,DE,Munich,,,,male,1988,chemistry,,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Max-Planck-Institut fôr Biochemie,Martinsried,Federal Republic of Germany,1937
384,270,Johann,Deisenhofer,30.09.43,,Germany,DE,Zusamaltheim,,,,male,1988,chemistry,,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Howard Hughes Medical Institute,,,1943
385,418,Godfrey N.,Hounsfield,28.08.19,08.12.04,United Kingdom,GB,Newark,United Kingdom,GB,Kingston upon Thames,male,1979,medicine,,2,"""for the development of computer assisted tomography""","Central Research Laboratories, EMI",London,United Kingdom,1919
